run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
4,189,DEV,happy,66,0.79888,66,52.5146,368,156.9398,157.3231,157.3731,158.273,0.1,happy_15.png,0.00993254733186383
4,190,DEV,happy,70,0.79466,70,55.534,384,158.4064,158.8063,158.8564,159.7563,1.1,happy_16.png,0.0101139524051588
4,191,DEV,happy,72,0.78158,72,56.5354,434,160.8896,161.3396,161.3896,162.2895,0.1,happy_21.png,0.0101179312776529
4,192,DEV,happy,65,0.80338,65,51.8782,351,162.4396,162.8062,162.8562,163.7561,2.1,happy_8.png,0.00969229696354296
4,193,DEV,happy,68,0.79888,68,54.1123,368,165.8894,166.2727,166.3227,167.2227,8.1,happy_22.png,0.0100283519948562
4,194,DEV,happy,72,0.79888,72,57.3079,368,175.3557,175.7389,175.789,176.6889,1.1,happy_24.png,0.0101059444823264
4,195,DEV,happy,73,0.78575,73,57.511,418,177.8222,178.2555,178.3055,179.2055,0.1,happy_1.png,0.0102226180042865
4,196,DEV,happy,75,0.78575,75,59.0825,418,179.3388,179.7721,179.8221,180.7221,4.1,happy_11.png,0.010166724549064
4,197,DEV,happy,67,0.8079,67,54.462,334,184.8553,185.2052,185.2552,186.1552,2.1,happy_20.png,0.0095084575326357
4,198,DEV,happy,71,0.79888,71,56.509,368,188.2884,188.6717,188.7217,189.6217,3.1,happy_19.png,0.0101212032525632
4,199,DEV,happy,69,0.80338,69,55.0917,351,192.7549,193.1215,193.1715,194.0715,0.1,happy_10.png,0.0099080717587868
4,200,DEV,happy,68,0.79019,68,53.7645,401,194.2048,194.6214,194.6715,195.5714,12.1,happy_17.png,0.0103124127833361
5,201,IEV,scram,17,0.88919,17,15.28,601,8.0506,8.6672,8.7173,9.6172,1.1,scram_23.png,0.0187584475438664
5,202,IEV,scram,32,0.81684,32,26.3031,1568,10.7505,12.3337,12.3837,13.2837,0.1,scram_16.png,0.0155648253460482
