run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
7,342,CEV,scram,0,0,0,0,4000,229.8234,233.8398,233.8899,234.7898,3.1,scram_4.png,3.09045593006758e-19,7.90673064401587e-18
7,343,CEV,scram,66,0.59514,66,39.3806,2134,237.9397,240.0895,240.1395,241.0395,0.1,scram_23.png,0.0160327840354931,0.0151988841909504
7,344,CEV,scram,0,0,0,0,4000,241.1895,245.2059,245.256,246.1559,0.1,scram_6.png,3.18269951147248e-20,8.34841503609226e-19
7,345,CEV,scram,70,0.51171,70,35.9766,2718,246.5892,249.3224,249.3724,250.2724,0.1,scram_18.png,0.00039212932071414,0.000477303325170651
7,346,CEV,scram,0,0,0,0,4000,250.4224,254.4389,254.4889,255.3888,6.1,scram_22.png,1.09632571029462e-20,2.61519148424964e-19
7,347,CEV,scram,56,0.60457,0,33.9771,2068,261.5385,263.6217,263.6718,264.5717,3.1,scram_16.png,0.0145325497853877,0.0138963721040733
7,348,CEV,scram,73,0.51414,0,37.5141,2701,267.7216,270.4381,270.4881,271.388,1.1,scram_25.png,0.000370440618819179,0.00035665838780248
7,349,CEV,scram,45,0.79271,0,35.4146,751,272.538,273.3046,273.3546,274.2546,5.1,scram_19.png,1.13964448436265e-05,8.52199783569387e-05
7,350,CEV,scram,87,0.407,0,35.372,3451,279.4044,282.8708,282.9209,283.8208,12.1,scram_7.png,6.89305644370035e-13,4.39631709108298e-12
8,351,IEV,fear,28,0.8559,28,23.6306,1168,8.0737,9.257,9.307,10.2069,5.1,fear_11.png,0.0232108956646389,1.41887018247357e-52
8,352,IEV,fear,45,0.76515,45,34.1722,1967,15.3568,17.3399,17.39,18.2899,1.1,fear_8.png,0.0158864820472327,7.22688443790764e-49
8,353,IEV,fear,76,0.60313,76,45.5413,2901,19.4399,22.3564,22.4064,23.3063,2.1,fear_17.png,0.0300825143640209,7.69454492914867e-23
8,354,IEV,fear,93,0.51895,0,48.0897,3317,25.4562,28.7894,28.8394,29.7393,0.1,fear_13.png,2.14622116341072e-08,2.54549457292262e-27
8,355,IEV,fear,64,0.62259,0,40.1163,2801,29.8894,32.7059,32.7559,33.6558,1.1,fear_5.png,0.000275774490515356,5.12067339631266e-35
8,356,IEV,fear,53,0.69024,53,36.9194,2434,34.8058,37.2557,37.3057,38.2056,3.1,fear_23.png,0.00677407954152878,8.11447581587676e-33
